Brand,Slogan;
,"Audi,""Never Follow.;"
,Keeping ahead through technology.;
,Everyone dreams of an Audi.;
,Vorsprung durch Technik.;
,Everyone dreams of an Audi. ;
,Luxury without compromise. ;
,A sedan that makes a lasting impression. ;
,The better of the best. ;
,The advanced state of mind. ;
,Born of powerful ideas. ;
,True greatness. ;
Audu S line. More horses, fewer seconds. ;
,Advertising slogan: Protection on all sides. ;
,Following your own rules. Audi A6. ;
,"It's a miracle but we've made it. "";"
,"Apple,""Company advertising campaigns;"
,Byte into an Apple. ;
,Simplicity is the Ultimate Sophistication. ;
Soon there will be 2 kinds of people. Those who use computers, and those who use Apples. ;
,The Computer for the rest of us. ;
,The Power to Be Your Best. ;
,Think different. ;
,iPhone;
,The internet in your pocket.;
,Touching is believing ;
,iPhone Apple reinvents the phone;
,Say Hello to iPhone;
,Talk about big. iPhone now in 16GB. More music. More video. More iPhone.  ;
,The iPhone you've been waiting for. ;
,There's an app for that. That's the iPhone. Solving life's dilemma one app at a time. ;
,The first phone to beat the iPhone. ;
Twice as fast, for half the price ;
,The most advanced mobile OS. Now even more advanced. ;
25,000 apps. And counting. ;
The fastest, most powerful iPhone yet. ;
,There's An App For Everything ;
More to love, less to pay ;
,This changes everything. Again. ;
,Things go better with an apple ;
If you don't have an iPhone, well you don't have an iPhone.;
,The world's thinnest smartphone.;
,Finally.;
,It's the most amazing iPhone yet. ;
,Its not just bigger. Its just right. ;
,The biggest thing to happen to iPhone since iPhone;
,Loving it is easy. That's why so many people do.;
,For the colorful. ;
,Forward thinking. ;
,Progress is a beautiful thing. ;
,Bigger than bigger. ;
,Apple I ;
,Apple introduces the first low cost microcomputer system with a video terminal and 8 kilobytes  of RAM on a single PC card!;
,Apple II;
,le II;
,What every educator should know about desk-top computers.;
The home computer that's ready to work, play and grow with you.;
,A is for Apple.;
,How to buy a Personal Computer.;
,Welcome IBM. Seriously. ;
,What kind of man owns his own computer?;
,Baked Apple.;
,Why Apple II is the world's best selling personal computer.;
,Apple: The Personal Computer.;
,Apple Pay;
,Your wallet. Without the wallet. ;
,Macintosh;
,It takes minutes of practice to make Macintosh do this.;
,Introducing Macintosh.;
,Why 1984 won't be like...1984.;
,The computer for the rest of us.;
,Introducing Macintosh. What makes it tick. And talk. ;
Of the 235 million people in America, only a fraction can use a computer... Introducing Macintosh. For the rest of us.;
It does more, It costs less. It's that simple.;
,"Macintosh-the computer for the rest of us."";"
,"American Airlines,""The new American is arriving.;"
,Be yourself. Nonstop.;
,We know why you fly.  ;
Two great airlines, one great future.;
,We are an airline that is proud to bear the name: American.;
,New York's Bridge To The World;
,We Mean Business In Chicago.;
,Based Here. Best Here.;
,The On-Time Machine.;
No other Airline gives you more of America, than American.;
,Something special in the air.;
En American, tenemos lo que t buscas.;
,We're American Airlines. Doing what we do best.;
,Our passengers get the best of everything. ;
,It's good to know you're on American Airlines. ;
,Fly the American Way.;
,American built an airline for professional travelers. ;
,"America's Leading Airline."";"
,"Avon,""The company for women.;"
We make it easy, You make it BEAUTIFUL.;
,"Ding-Dong - Avon Calling."";"
,"Accenture,""High Performance, Delivered.;"
Go on, be a Tiger.;
,"We know what it takes to be a Tiger."";"
,"Arby's,""Slicing up freshness.;"
,Now That Your Tastes Have Grown Up!;
,What are you eating today?;
Im thinking different, Im thinking Arbys.;
,Its Good Mood Food!;
,"We have the meats."";"
,"Adidas,""impossible is nothing.;"
,Adidas is all in.;
,Creating the New.;
,Forever sports.;
,You cant have my shoes.;
,"Believe in 5ive. "";"
,"American Express,""My life. My card.;"
,Do more.;
,Dont leave home without it.;
,OPEN;
,Membership Has Its Privileges. Dont Leave Home Without It.;
,American Express Credit Card;
,The journey never stops.;
,Are you a card member?;
,For whatever dreams are on your list.;
,Make life rewarding.;
,Do plastic. And get paid for it.;
,Membership has its privileges.;
,"Don't leave home without it."";"
,"Allstate,""Youre in good hands with Allstate.;"
,These hands take a lot of pride in their car.;
,"Good hands for the good life."";"
AirAsia,Now Everyone Can Fly.;
,"Air New Zealand,""Being there is everything.;"
,"The world's warmest welcome."";"
,"Acer,""Empowering People.;"
,"Acer. We hear you."";"
,"Aquafina,""Aquafina. The purest part of you.;"
,Make your body happy.;
,"Aquafina. Purity guaranteed."";"
,"A&W,""A & W. All American Food.;"
,"Where the foods as good as the root beer."";"
,"Amway,""Were Listening.;"
,"Better Ideas."";"
,"Alfa Romeo,""Beauty is not enough.;"
,Power for your control.;
,Without heart we would be mere machines.;
It's not a car, it's an Alfa Romeo.;
,The family car that wins races.;
,Mediocrity is a sin.;
,Driven by Passion.;
,"Racing since 1911."";"
,"ASUS,""Rock Solid. Heart Touching.   ;"
,Inspiring Innovation. Persistent Perfection.  ;
,"In Search of Incredible.  "";"
,"Absolut Vodka,""Our Devotion to Perfection is Absolut.;"
,ABSOLUT PERFECTION.;
,"In An Absolut World."";"
,"Aflac,""Ask about it at work.;"
,We've got you under our wing.;
Without it, no insurance is complete.;
,"Aflac insurance policies may help you with those expenses not covered by your major medical plan."";"
,"Ace Hardware,""The helpful place.;"
,"Ace is the place with the helpful hardware man."";"
,"Aquafresh,""Feel good protection.;"
,Aquafresh. Amazing.;
,Aquafresh yourself.;
,Three in one protection for your family.;
,I make brushing fun!  ;
,It's a brush of fresh air. ;
,Take the feeling of clean to the Extreme. ;
,A friendly reminder to floss. ;
,"A daily way to dazzling whiter teeth. "";"
,"Air Canada,""Fly The Flag.;"
,"Air Canada. Defy obstacles."";"
Aveda,The art and science of pure flower and plant essences.;
Axis Bank,Everything is the same except the name.;
,"Ambi Pur,""Ambi Pur. Breathe happy.;"
,Pure inspiration.;
,Fragrance your imagination.;
,Freshness where it's never gone before. ;
,Ambi Pur Car Air Freshener;
,You'll never want to leave your car.;
,"Real perfume for your car."";"
A&W Root Beer,That frosty mug sensation.;
,"Asics,""So you have skinny feet. Sure beats thick ankles.;"
,Shoes with a better memory than your husband.;
,Shoes that remember things.;
,Running makes you a better sprinter.;
,Keep Running.;
,"A sound mind in a sound body."";"
,"Amazon,""Work hard, have fun, make history.;"
,"Earths Biggest BookStore."";"
,"Aston Martin,""Power, beauty and soul.;"
,"In harmony with the driver."";"
,"Allianz,""Insurance solutions from A to Z.;"
,The Power on Your Side.;
Be sure, not just insured.;
,You can trust Allianz.;
,"For all that's ahead. "";"
,"Aviva,""Taking care of whats important.;"
,Forward Thinking.;
,"For life's little dramas."";"
,"Air France,""France is in the air.;"
,"Air France. One of the best places on earth."";"
,"Albertsons,""Helping make your life easier.;"
,Good things are just around the corner.;
,Crazy about food.;
,Albertsons. It means a great deal.;
,"New ideas at work."";"
,"Acura,""The road will never be the same.;"
,True definition of Luxury. Yours.;
,"Precision crafted performance."";"
AOL,Welcome to the World Wide Wow.;
,"Arena,""Arena. Water instinct.;"
,What it takes to win.;
Arena Bodylift, body shaping swimsuits;
,"Beauty in all its forms."";"
,"Amstel Brewery,""Taste life. Pure Filtered.;"
,Amstel. Our beer.;
,Celebrate football.  ;
,"The beer drinker's light beer.  "";"
,"Avis,""Avis. It's your space.;"
,We're trying harder than ever.;
,Avis. We try harder.;
,"We're number two. We try harder."";"
,"AXA,""Redefining standards.;"
,Be life confident.;
,"Go ahead. Go ahead with AXA."";"
,"Air Wick,""Air Wick. Home is in the air.;"
,The craft of fragrance.;
,Something in the Air Wick.;
,It's good to be home.;
,"Set it to the rhythm of your home. "";"
,"AIG(American Intern,""We know money.;"
,"The strength to be there."";"
,"Alitalia,""Dream it, Live it.;"
,Alitalia. The wings of Italy.;
,Alitalia flies with you. ;
,Made to fly high. ;
Alitalia, working for you. ;
,We move those who move Italy. ;
,Choose how to fly. ;
,The pleasure of flying Made in Italy.;
,"Where the journey meets the destination. "";"
,"Aqua Pura,""Be the best you can be.;"
,Discover pure taste.;
,"For a pura mind and pura body."";"
,"Appleton Jamaica Ru,""Appleton. The spirit of Jamaica.;"
,Raise your Rum!;
,"The Finest Rum In The World. "";"
,"AMP Limited,""AMP. Have the life you want.;"
,"It's easy to bank with AMP."";"
Ariat,Performance Is In Our Sole.;
Avaya,Avaya. The Power of We.;
,"Austrian Airlines,""the charming way to fly.;"
,Austrian. Fly with friends.;
,The most friendly airline.;
,"Austrian. Like a smile in the sky."";"
,"AeroflotRussian A,""Sincerely yours, Aeroflot."";"
,"aussieBum,""If you doubt yourself, wear something else!"";"
Avia,Know your history. Respect your elders.;
Argo,The Ultimate Off-Road Adventure.;
Air Tanzania,The wings of Kilimanjaro.;
,"Avalon Waterways,""A river cruise unlike any other.;"
,"From here, it's another world."";"
,"Access (credit card,""It takes the waiting out of wanting.;"
,"Your flexible friend."";"
,"America West Airlin,""What We Serve Is You.;"
Across the U.S. and Pacific, what we serve is you.;
The More You Fly, The More We Make Sense.;
,Every flight counts.;
,It seems silly to pay more.;
,"Get on board."";"
,"Abbey National,""Abbey. More ideas for your money.;"
,Turning banking on its head.;
,Because life's complicated enough.;
,Investments with Abbey endings.;
,"Get the Abbey habit."";"
,"Accurist,""Accurist. Mean time.;"
,"No ordinary old timer  "";"
,"Angus & Roberts,""Selling books to Australians since 1886.;"
,"We have all the best stories."";"
,"AAT Kings,""Best under the New Zealand sky.;"
,"Best under the Australian sky"";"
,"Ben & Jerry',""Ben & Jerry's. Vermont's finest.;"
,"Peace, love & ice cream."";"
,"Burger King,""Have it your way.;"
,Youre the Boss.;
,The fires ready.;
Your Way, Right Away.;
,Best Food for Fast Times.;
,Fast Food for Fast Times;
,America Loves Burgers and Were Americas Burger King.;
Burger King, Home of the Whopper.;
,Wake up with the King.;
,It Takes two hands to hold a Whopper.;
,This is a Burger King town.;
,It just tastes better.;
,We do it like youd do it.;
,"Sometimes youve got to break the rules."";"
,"Bacardi,""Thirsty for life? Drink Responsibly.;"
,0 Carbs. 0 Sugar. 66 Calories.;
,You in?;
,Welcome to the Latin Quarter.;
,Live like you mean it.;
,You know when it's Bacardi.;
,"They get the job done. "";"
,"Baskin-Robbins,""31 flavors;"
,More flavors. More fun.;
,"Baskin-Robbins. What's your flavor?"";"
,"Budweiser,""The king of beers.;"
For all you do, this Buds for you.;
,Heres to the designated driver.;
,Budweiser. True.;
When you say Budweiser, you've said it all.;
,The Genuine Article.;
Where there's life, there's Bud.;
,"Thank you for 125 years."";"
,"BMW,""The Ultimate Driving Machine.;"
,Sheer Driving Pleasure.;
,The Ultimate Driving Experience.;
,Joy Knows No Compromises. ;
,"Beyond rational. "";"
,"Bosch,""Invented for life;"
,Power and versatility within reach. ;
,Ignite Performance with the Most Powerful Spark You Can Buy. ;
,Career wins? Weve lost count. ;
,The Earths best water heater. ;
,Bosch power tools;
,Bosch. Best built guaranteed.;
,"Truly professional."";"
,"British Airways,""The red-eye has been replaced by the shut-eye.;"
,a better sleep in business class.;
,The Way to Fly.;
,British Airways. To fly. To serve..;
,The world's favourite airline.;
,"We'll take more care of you."";"
,"Breyers,""It's way beyond ice cream.;"
,Brings the family together.;
,"So good, it must be Breyers."";"
,"BOSE,""Better sound through research.;"
,"Hear The Radio That Woke Up An Entire Industry."";"
Bugatti,Right of Common Man.;
,"Blue Bell Ice Cream,""The best ice cream in the country.;"
,A taste of heaven on earth.;
,Have yourself a Blue Bell country day.;
,We eat all we can and sell the rest.;
,I get cranky without my Blue Bell.;
,Blue Bells the best ice cream in the country.;
,Blue Bells better by a country smile.;
,Were cranky about flavor.;
,Cows think Brenhams Heaven.;
,We took the yuk out of yoghurt.;
,Blue Bell tastes just like the good old days.;
,Its a fun thing to eat.;
,"Blue Bell is the state ice cream of Texas."";"
,"Baileys Irish Cream,""Baileys. Serve Chilled.;"
,Baileys. Let your senses guide you.;
,"The Pleasure Society."";"
,"Barclays,""Now theres a thought.;"
,Fluent in finance.;
